FILM;ID ACTEUR;PERSONNAGE;
tt0076851;nm0000001;Dr. Seamus Scully;
tt0076851;nm0914673;Sean;
tt0076851;nm0642776;Margaret Colleen;
tt0076851;nm0119501;Little Person;
tt0076851;nm0167358;Nurse;
tt0076851;nm0404697;Madame Li;
tt0076851;nm0236294;;
tt0076851;nm0240588;;
tt0076851;nm0446303;Little Person;
tt0076851;nm0520421;;
tt0076851;nm0572916;Publican Jack Lynch;
tt0076851;nm0607377;Hospital Doctor;
tt0076851;nm0218747;Police Officer;
tt0075971;nm0000001;S.D. Kluger (narrator);
tt0075971;nm0385830;Sunny the Easter Bunny;
tt0075971;nm0568657;Chugs;
tt0075971;nm0842563;Gadzooks;
tt0075971;nm0551141;Hallelujah Jones;
tt0075971;nm0158729;Chicken #1;
tt0075971;nm0765131;Lilly Longtooth;
tt0075971;nm0818654;King Bruce;
tt0075971;nm0197035;Linda the Schoolteacher;
tt0075971;nm0569584;Child;
tt0075971;nm0212847;Child;
tt0075971;nm0107293;Child;
tt0075971;nm0026144;Child;
tt0075971;nm0137040;Child;
tt0074130;nm0002082;Lucky;
tt0074130;nm0001174;Justine;
tt0074130;nm0000001;Daniel Hughes;
tt0074130;nm0141659;Solly Kramer;
tt0074130;nm0000863;Samson;
tt0074130;nm0109318;Professor;
tt0074130;nm0046373;Septimus--Circus Owner;
tt0074130;nm0021754;Slager;
tt0074130;nm1927454;Sally;
tt0074130;nm0810694;Irene Morgan--Waitress;
tt0074130;nm0659142;Tex;
tt0074130;nm0717514;Perry;
tt0074130;nm1931818;Tom;
tt0074130;nm0664017;Armored Car Driver;
tt0074130;nm0947603;Vic;
tt0072308;nm0000056;Doug Roberts;
tt0072308;nm0000537;Chief O'Hallorhan;
tt0072308;nm0000034;Jim Duncan;
tt0072308;nm0001159;Susan;
tt0072308;nm0000001;Harlee Claiborne;
tt0072308;nm0086806;Patty;
tt0072308;nm0000328;Simmons;
tt0072308;nm0428354;Lisolette;
tt0072308;nm0001740;Jernigan;
tt0072308;nm0001816;Senator Parker;
tt0072308;nm0001822;Dan Bigelow;
tt0072308;nm0281224;Lorrie;
tt0072308;nm0021052;Paula Ramsay;
tt0072308;nm0123680;Giddings;
tt0072308;nm0172355;Mayor Ramsay;
tt0072308;nm0330150;Kappy;
tt0072308;nm0675066;Scott;
tt0072308;nm0797268;Carlos;
tt0066327;nm0000001;Narrator - S.D. Kluger;
tt0066327;nm0001682;Kris Kringle;
tt0066327;nm0943978;Winter Warlock;
tt0066327;nm0293659;Burgermeister Meisterburger;
tt0066327;nm1134445;Tanta Kringle;
tt0066327;nm0504515;Miss. Jessica;
tt0066327;nm0755215;Child;
tt0066327;nm0528660;Child;
tt0066327;nm0924812;Child;
tt0066327;nm0858885;Child;
tt0066194;nm0000974;Nash Crawford;
tt0066194;nm0000001;The Baltimore Kid;
tt0066194;nm0118000;Jason Fitch;
tt0066194;nm0222596;Amos Polk;
tt0066194;nm0932629;Gentleman George;
tt0066194;nm0724268;Sam Braham;
tt0066194;nm0939836;Katie;
tt0066194;nm0046373;The Mayor;
tt0066194;nm0121900;The Stableman;
tt0066194;nm0111523;Mrs. Murphy;
tt0066194;nm0354949;Parson;
tt0066194;nm0615993;Best Man;
tt0066194;nm0928061;The Cowboy;
tt0066194;nm0552893;The Drifter;
tt0066194;nm0097646;Wedding Guest;
tt0066194;nm0097647;Wedding Guest;
tt0066194;nm0160722;Townsman;
tt0066194;nm0177979;Bar X Rider;
tt0062572;nm0001822;Alexander Mundy;
tt0062572;nm0000001;Alistair Mundy;
tt0062572;nm0861943;Noah Bain;
tt0062572;nm0973646;Party Guest;
tt0062572;nm0083081;Wally Powers;
tt0062572;nm0478442;Croupier;
tt0062572;nm0001072;Mr. Jack;
tt0062572;nm0756634;Charlie Brown;
tt0062572;nm0751245;William Dover;
tt0062572;nm0613787;Fred Devon;
tt0062572;nm0943660;Hans Schiller;
tt0062572;nm0533013;Earl Danton;
tt0062572;nm0886657;Gen. Kunay;
tt0062572;nm0482881;Francisco Arascan;
tt0062572;nm0009943;Dr. Edwina Hopkins;
tt0062572;nm0533891;General Contell;
tt0062572;nm0017113;Lieutenant Hardtman;
tt0062572;nm0460878;Bertie;
tt0064664;nm0000001;John Pedley;
tt0064664;nm0001077;Mike Warden;
tt0064664;nm0382391;Sylvia Giroux;
tt0064664;nm0724732;Lord Henshaw;
tt0064664;nm0003110;Carlo Dodero;
tt0064664;nm0148041;General Ferranti;
tt0064664;nm0219062;Charles Crittenden;
tt0064664;nm0494452;Wells;
tt0064664;nm0785286;Paul Giroux;
tt0064664;nm0016793;Mark Dietrich;
tt0064664;nm0367069;Anton Pfeiffer;
tt0064664;nm0208403;Ingeborg Pfeiffer;
tt0064664;nm0119411;Carabinieri;
tt0064664;nm0061993;Pilot;
tt0064664;nm3013608;Co-Pilot;
tt0064664;nm0066274;Gordon;
tt0064664;nm0376580;The Dean;
tt0064664;nm0001522;Wister;
tt0062974;nm0000001;Finian McLonergan;
tt0062974;nm0164379;Sharon McLonergan;
tt0062974;nm0824687;Og;
tt0062974;nm0290475;Woody Mahoney;
tt0062974;nm0943978;Senator Billboard Rawkins;
tt0062974;nm0359341;Susan the Silent;
tt0062974;nm0293272;Howard;
tt0062974;nm0170372;Buzz Collins;
tt0062974;nm0842248;Sheriff;
tt0062974;nm0455389;District Attorney;
tt0062974;nm2883316;Henry;
tt0062974;nm0036033;Sharecropper 'Necessity';
tt0062974;nm2095325;Sharecropper;
tt0062974;nm2210897;Sharecropper;
tt0062974;nm0165910;Geologist;
tt0062974;nm0170750;Sharecropper;
tt0062974;nm0184371;Sharecropper;
tt0062974;nm0244927;Sharecropper;
tt0054535;nm0000328;Dr. James Kildare;
tt0054535;nm0557339;Dr. Leonard Gillespie;
tt0054535;nm0476014;Nurse Zoe Lawton;
tt0054535;nm0409194;Nurse Beatrice Fain;
tt0054535;nm0077607;Dr. John Kapish;
tt0054535;nm0753103;Dr. Simon Agurski;
tt0054535;nm0068527;Dr. Quint Lowry;
tt0054535;nm0852676;Dr. Thomas Gerson;
tt0054535;nm0375884;Nurse Conant;
tt0054535;nm0398455;Mac;
tt0054535;nm0831805;Mrs. Salt;
tt0054535;nm0000558;Harry Kleber;
tt0054535;nm0130210;Dr. Yates Atkinson;
tt0054535;nm0580886;Nurse Bonnie Tynes;
tt0054535;nm0000842;Dr. Milton Orloff;
tt0054535;nm0697785;Dr. Roger Helvick;
tt0054535;nm0000832;Amy Post;
tt0054535;nm0226947;Andrew Webb;
tt0056742;nm0001362;Self - Host;
tt0056742;nm0922967;Gerberman;
tt0056742;nm0446438;Fred Piper;
tt0056742;nm0290201;Photographer;
tt0056742;nm0067589;Gregor Kodlitz;
tt0056742;nm0731772;District Attorney Benjamin Reynolds;
tt0056742;nm0216819;Bishop Andrews;
tt0056742;nm0550849;2nd Security Guard;
tt0056742;nm0624883;Alex Morrill;
tt0056742;nm0041598;Buttercup Fuchsia;
tt0056742;nm0397982;2nd Man;
tt0056742;nm0003344;Charlie;
tt0056742;nm0577865;Bernie;
tt0056742;nm0831905;Borginin;
tt0056742;nm0683986;Ed;
tt0056742;nm0407307;Doyle Ralston;
tt0056742;nm0564972;Eleanor Farrell;
tt0056742;nm0226840;Nurse;
tt0182576;nm0532235;Peter Griffin;
tt0182576;nm0097504;Lois Griffin;
tt0182576;nm0001293;Chris Griffin;
tt0182576;nm0005109;Meg Griffin;
tt0182576;nm1396611;Cleveland Brown;
tt0182576;nm0896742;TV Announcer;
tt0182576;nm0911320;Joe Swanson;
tt0182576;nm0807834;TV Announcer;
tt0182576;nm0307621;Waiter;
tt0182576;nm1273148;Jesus Christ;
tt0182576;nm1484134;Miss Tammy;
tt0182576;nm0184963;George W. Bush;
tt0182576;nm0001842;Mayor Adam West;
tt0182576;nm0724656;Jerome;
tt0182576;nm0851317;Harvey Weinstein;
tt0182576;nm0107322;Mort Goldman;
tt0182576;nm0000236;Bonnie Swanson;
tt0182576;nm1163667;Audience Member;
tt1368858;nm0000002;Anne-Marie;
tt1368858;nm1242688;Joshua;
tt1368858;nm0000547;Everly Campbell;
tt1368858;nm0101710;Bernie;
tt1368858;nm0247753;Vanessa Reese;
tt1368858;nm0324134;Pinkus;
tt1368858;nm2207222;Ryan Felter;
tt1368858;nm3049159;Rachel;
tt1368858;nm0659363;Amber Felter;
tt1368858;nm1065454;Sasha;
tt1368858;nm0616766;Brynn Mason;
tt1368858;nm1429242;Aram;
tt1368858;nm0959242;Mr. Weathers;
tt1368858;nm0352674;Amir;
tt1368858;nm0367445;Real Painter;
tt1368858;nm0670186;Churchgoer;
tt1368858;nm4036450;Kean;
tt1368858;nm4052267;Young Boy;
tt1816518;nm0933727;Ernest;
tt1816518;nm5312818;Célestine;
tt1816518;nm0519735;La Grise;
tt1816518;nm0577616;Georges;
tt1816518;nm3102740;Lucienne;
tt1816518;nm5643341;Léon;
tt1816518;nm0171993;Chef de clinique;
tt1816518;nm0694989;Infirmière en Chef;
tt1816518;nm1670347;Avocat d'Ernest;
tt1816518;nm0040545;Juge Grizzly;
tt1816518;nm0061214;Juge Rat;
tt1816518;nm0335861;Chef policier Ours;
tt1816518;nm0236543;Chef policier Rat;
tt1816518;nm0162791;Monsieur Rançonnet;
tt1816518;nm5644340;Célestine enfant;
tt1816518;nm1910704;Voix Additionnelles;
tt1816518;nm9367210;Voix Additionnelles;
tt1816518;nm9367211;Voix Additionnelles;
tt0858500;nm0004051;Wally;
tt0858500;nm0000002;May;
tt0858500;nm0289038;George;
tt0858500;nm0778278;Reimark;
tt0858500;nm0175758;Ben;
tt0858500;nm2070336;Nina;
tt0858500;nm0030153;Arne;
tt0858500;nm0753259;Kristin;
tt0858500;nm0529292;Laura;
tt0858500;nm2707713;Nurse Blakstad;
tt0858500;nm0463826;Nils;
tt0858500;nm0394034;Eric;
tt0858500;nm10995583;Helga;
tt0858500;nm2252988;Dr. Gram;
tt0858500;nm0039398;Harbour Master;
tt0858500;nm0804418;Marcus Solston;
tt0858500;nm2784276;Policeman;
tt0858500;nm0704658;Gravedigger;
tt1295021;nm0919798;Fred;
tt1295021;nm0440487;Shaggy;
tt1295021;nm0217221;Daphne;
tt1295021;nm0169934;Velma Dinkley;
tt1295021;nm0001431;The Amazing Krudsky;
tt1295021;nm0001728;Mr. Gibbles;
tt1295021;nm0659363;Fairy Princess Willow;
tt1295021;nm0000347;The Goblin King;
tt1295021;nm0000902;Glob;
tt1295021;nm0132660;Glum;
tt1295021;nm0000002;The Grand Witch;
tt1295021;nm0005143;Jack O'Lantern;
tt1295021;nm0011609;Sparkplug;
tt1295021;nm0853122;Owl Witch;
tt1278345;nm0000002;Grandma;
tt1278345;nm0001262;Joe;
tt1278345;nm1880888;Kate;
tt1278345;nm1693493;Bruce;
tt1278345;nm3118170;Maitre'D;
tt0783608;nm0000437;Carter Page III;
tt0783608;nm0000218;Lynn Lockner;
tt0783608;nm0000002;Natalie Van Miter;
tt0783608;nm0000885;Jack Delorean;
tt0783608;nm0001953;Emek Yoglu;
tt0783608;nm0002148;Chrissie Morgan;
tt0783608;nm0005499;Abigail Delorean;
tt0783608;nm0000353;Larry Lockner;
tt0783608;nm0394054;Mungo Tenant;
tt0783608;nm0290162;Detective Dixon;
tt0783608;nm0366889;Robbie Kononsberg;
tt0783608;nm0353796;Mungo Tenant;
tt0783608;nm0721866;Ethan Withal;
tt0783608;nm2336425;Andrew Salesperson;
tt0783608;nm0991334;Edgar;
tt0783608;nm1382724;Radley;
tt0783608;nm1410705;Police Officer;
tt0783608;nm1727069;Photographer;
tt0141842;nm0001254;Tony Soprano;
tt0141842;nm0000966;Dr. Jennifer Melfi;
tt0141842;nm0004908;Carmela Soprano;
tt0141842;nm0408284;Christopher Moltisanti;
tt0141842;nm0005523;Silvio Dante;
tt0141842;nm0407615;A.J. Soprano;
tt0141842;nm0802831;Paulie 'Walnuts' Gualtieri;
tt0141842;nm0797464;Meadow Soprano;
tt0141842;nm0156940;Junior Soprano;
tt0141842;nm0878152;Janice Soprano;
tt0141842;nm0771993;Bobby 'Bacala' Baccalieri;
tt0141842;nm0005576;Adriana La Cerva;
tt0141842;nm0342106;Patsy Parisi;
tt0141842;nm0304430;Vito Spatafore;
tt0141842;nm0029512;Rosalie Aprile;
tt0141842;nm0893247;Artie Bucco;
tt0141842;nm0192603;Johnny 'Sack' Sacramoni;
tt0141842;nm0898634;Phil Leotardo;
tt0439848;nm0524099;Lily Evans;
tt0439848;nm1845933;Stage Manager;
tt0439848;nm0571549;Miss Abernethy;
tt0439848;nm1846776;Diana 3 Years Old;
tt0439848;nm2219019;Diana 8 Years Old;
tt0439848;nm1508111;Garstin 14 Years Old;
tt0439848;nm1814175;Douglas 14 Years Old;
tt0439848;nm0202945;Mrs. Bannock;
tt0439848;nm0781476;Rev. Bannock;
tt0439848;nm1483730;Diana Shaw;
tt0439848;nm1095324;Garstin;
tt0439848;nm0110341;Tavistock Hotel Porter;
tt0439848;nm0210105;Tall Girl;
tt0439848;nm0616990;Dolly Nightingale;
tt0439848;nm0085686;Miss Griffin;
tt0439848;nm1846311;Producer;
tt0439848;nm0765470;Producer;
tt0439848;nm1952567;Robin Gardner;
tt0342735;nm0397171;Grace Margaret Mulligan;
tt0342735;nm0207218;Timothy;
tt0342735;nm0000418;Wilhelm;
tt0342735;nm0000353;Grace's Father;
tt0342735;nm1044641;Thomas;
tt0342735;nm0000002;Mam;
tt0342735;nm0000852;Mr. Robinsson;
tt0342735;nm0060799;Bertie;
tt0342735;nm1522531;Edward;
tt0342735;nm1569396;Bingo;
tt0342735;nm0188568;Venus;
tt0342735;nm0001111;Niels;
tt0342735;nm0317275;Victoria;
tt0342735;nm0157774;Old Wilma;
tt0342735;nm0390306;Elisabeth;
tt0342735;nm0000457;Narrator;
tt0342735;nm1572060;Jim;
tt0342735;nm0411964;Dr. Hector;
tt0491524;nm0000002;TV Announcer;
tt0491524;nm0000968;Amália Rodrigues;
tt0338201;nm0000002;May Markham;
tt0338201;nm0001231;Monica Prince;
tt0338201;nm0001089;Denny;
tt0338201;nm0000592;Gale;
tt0338201;nm0419005;Brian;
tt0338201;nm0329876;Julie;
tt0338201;nm0339991;Nora St. George;
tt0338201;nm0337945;Agent Henry;
tt0338201;nm0687999;Little John;
tt0338201;nm0451896;Eightball;
tt0338201;nm0829912;Duncan;
tt0338201;nm0093957;Blues;
tt0338201;nm0390775;Cousin Andrew;
tt0338201;nm1072946;Agent;
tt0338201;nm0102164;Detective Lavery;
tt0338201;nm0913968;Constable Verrucci;
tt0338201;nm0118895;Yuri;
tt0338201;nm1861378;Eddie;
tt0337876;nm0000173;Anna;
tt0337876;nm1080974;Young Sean;
tt0337876;nm0000002;Eleanor;
tt0337876;nm0396812;Joseph;
tt0337876;nm0254362;Laura;
tt0337876;nm0397124;Bob;
tt0337876;nm1366781;Sean;
tt0337876;nm0000162;Clara;
tt0337876;nm0001780;Clifford;
tt0337876;nm0505971;Mr. Conte;
tt0337876;nm0786806;Mrs. Conte;
tt0337876;nm1740815;Sinclair;
tt0337876;nm0625645;Lee;
tt0337876;nm0129807;Mrs. Hill;
tt0337876;nm1348029;Mr. Drummond;
tt0337876;nm0809944;Mrs. Drummond;
tt0337876;nm0995906;Jimmy;
tt0337876;nm0942633;Young Woman;
tt0347149;nm0047962;Sofî;
tt0347149;nm0454120;Hauru;
tt0347149;nm0309107;Karushifâ;
tt0347149;nm0594271;Arechi no Majo;
tt0347149;nm1126340;Marukuru;
tt0347149;nm0410659;Koshô;
tt0347149;nm1126978;Kakashi no Kabu;
tt0347149;nm0960033;Kokuô;
tt0347149;nm0361717;Hin;
tt0347149;nm0441353;Sariman;
tt0347149;nm0001739;Grandma Sophie;
tt0347149;nm0000288;Howl;
tt0347149;nm0000002;Witch of the Waste;
tt0347149;nm0001100;Madame Suliman;
tt0347149;nm0607865;Young Sophie;
tt0347149;nm1242688;Markl;
tt0347149;nm0000345;Calcifer;
tt0347149;nm0540441;Lettie;
tt0276919;nm0000173;Grace Margaret Mulligan;
tt0276919;nm0079273;Tom Edison;
tt0276919;nm0000002;Ma Ginger;
tt0276919;nm0027683;Gloria;
tt0276919;nm0000852;The Man with the Big Hat;
tt0276919;nm0001974;Mrs. Henson;
tt0276919;nm0001001;The Big Man;
tt0276919;nm0165101;Vera;
tt0276919;nm0001111;Bill Henson;
tt0276919;nm0001262;Jack McKay;
tt0276919;nm0001311;Tom Edison Sr.;
tt0276919;nm0389109;Gangster;
tt0276919;nm0266441;Martha;
tt0276919;nm0000457;Narrator;
tt0276919;nm0411964;Ben;
tt0276919;nm0428438;Gangster;
tt0276919;nm0001424;The Man in the Coat;
tt0276919;nm0454598;Olivia;
tt0069899;nm0404091;Colinot;
tt0069899;nm0217677;Bertrade;
tt0069899;nm0000003;Arabelle;
tt0069899;nm0480942;Rosemonde;
tt0069899;nm0681583;Bergamotte;
tt0069899;nm0764664;Dame Blanche;
tt0069899;nm0087126;Le vagabond;
tt0069899;nm0238379;Masnil Plassac;
tt0069899;nm0347453;Le mari de Rosemonde;
tt0069899;nm0494544;Le frère Albaret;
tt0069899;nm0612219;Le frère Hugo;
tt0069899;nm0749363;Gagnepain;
tt0069899;nm0864369;Tournebeuf;
tt0069899;nm0145912;Blandine;
tt0069899;nm0343766;Lucas;
tt0069899;nm0595317;Le frère Robichon;
tt0069899;nm0112533;L'hôte;
tt0069899;nm0057428;Le marieur;
tt0069990;nm0000003;Jeanne;
tt0069990;nm0396136;Louis Prévost;
tt0069990;nm0140649;L'abbé Paul;
tt0069990;nm0761187;Léporella;
tt0069990;nm0907480;Bobby - le guitariste;
tt0069990;nm0000945;Clara Prévost;
tt0069990;nm0740067;Pierre Gonzague;
tt0069990;nm0959476;;
tt0069990;nm0342411;;
tt0069990;nm0717031;;
tt0069990;nm0894075;;
tt0069990;nm0269376;;
tt0069990;nm0060558;;
tt0069990;nm0083910;;
tt0069990;nm0546537;;
tt0069990;nm0072319;;
tt0069990;nm0265390;;
tt0069990;nm0284776;;
tt0067637;nm0000003;Louise;
tt0067637;nm0001012;Marie Sarrazin;
tt0067637;nm0689488;Le Shérif;
tt0067637;nm0696163;Tante Amélie;
tt0067637;nm0030046;Constance;
tt0067637;nm0068873;Marc;
tt0067637;nm0194368;Le docteur Miller;
tt0067637;nm0205243;Matthieu;
tt0067637;nm0216867;Le Cornec;
tt0067637;nm0235340;Elisabeth;
tt0067637;nm0319834;Caroline;
tt0067637;nm0371493;Marquis;
tt0067637;nm0409105;Spitting Bull;
tt0067637;nm0431025;Letellier;
tt0067637;nm0169358;Virginie;
tt0067637;nm0585266;Charvet;
tt0067637;nm0699019;Mademoiselle Le Croisic;
tt0067637;nm0699524;Luc;
tt0066857;nm0893341;Cornelius von Zeelinga;
tt0066857;nm0000003;Linda Larue;
tt0066857;nm0871272;Le commodore Gerry Sanderson;
tt0066857;nm0720890;Lord William Percival Hammond;
tt0066857;nm0182841;Catharina;
tt0066857;nm0353916;Piet aka "Big Dutch";
tt0066857;nm0143030;Wilkinson dit Wilkie;
tt0066857;nm0903867;Alvarez;
tt0066857;nm0545383;Ronald;
tt0066857;nm0079439;Renner;
tt0066857;nm0415214;Loisel;
tt0066857;nm0264211;Le toubib;
tt0066857;nm0275484;Searle;
tt0066857;nm0877649;Mac Allistair;
tt0066857;nm0518286;Remus;
tt0066857;nm0194368;Cantacas;
tt0066857;nm0763433;Un ami de Cornelius;
tt0066857;nm0039696;;
tt0066164;nm0000003;Agnès;
tt0066164;nm0320760;Mona Lisa;
tt0066164;nm0138405;Le client au chien;
tt0066164;nm0239660;Le chauffeur d'ambulance;
tt0066164;nm0353916;L'Américain;
tt0066164;nm0431025;Le client Mona Lisa;
tt0066164;nm0740696;Le sadique;
tt0066164;nm0953412;Agent au commissariat;
tt0066164;nm0054257;Le client du village;
tt0066164;nm0054752;Homme de l'ambulance;
tt0066164;nm0222028;Le prêtre;
tt0066164;nm0243241;Le vendeur d'autos;
tt0066164;nm0585266;Le client en double file;
tt0066164;nm0664207;Play-boy;
tt0066164;nm0740669;Le chauffeur de taxi;
tt0066164;nm0926713;;
tt0066164;nm0077451;La mère supérieure;
tt0064779;nm0000003;Felicia;
tt0064779;nm0144045;Gaspard;
tt0064779;nm0147561;Ivan;
tt0064779;nm0163303;Stephane;
tt0064779;nm0318894;Titus;
tt0064779;nm0893834;Tabard;
tt0064779;nm0064707;Millot;
tt0064779;nm0503917;Bernard;
tt0064779;nm0834799;Arthur;
tt0064779;nm0201464;Mariette;
tt0064779;nm0369202;Julie;
tt0064779;nm0834805;Charlotte;
tt0064779;nm0422349;Hippie girl;
tt0064779;nm0542395;;
tt0064779;nm0014780;;
tt0064779;nm0202146;;
tt0064779;nm0480699;;
tt0064779;nm0050627;;
tt0064324;nm0000003;Clara;
tt0064324;nm0740067;Jérôme;
tt0064324;nm0391712;Marianne;
tt0064324;nm0243175;Hélène;
tt0064324;nm0490330;;
tt0064324;nm0547339;L'éditeur;
tt0064324;nm0519839;Louise;
tt0064324;nm0098215;Le maire;
tt0064324;nm1424375;;
tt0064324;nm0584844;Le contrôleur des wagons-lits;
tt0064324;nm0318894;;
tt0064324;nm0083523;;
tt0064324;nm1426895;;
tt0064324;nm0629832;;
tt0064324;nm1424312;;
tt0064324;nm1424274;;
tt0064324;nm0658517;;
tt0064324;nm1427047;;
tt0063592;nm0000125;Shalako;
tt0063592;nm0000003;Irina Lazaar;
tt0063592;nm0000963;Bosky Fulton;
tt0063592;nm0370144;Sir Charles Daggett;
tt0063592;nm0886870;Frederick Von Hallstatt;
tt0063592;nm0000303;Lady Daggett;
tt0063592;nm0834754;Chato;
tt0063592;nm0843059;Mako;
tt0063592;nm0461594;Henry Clarke;
tt0063592;nm0294227;Elena Clarke;
tt0063592;nm0558290;Rojas;
tt0063592;nm0057983;Buffalo;
tt0063592;nm0715192;Chato's Father;
tt0063592;nm0807682;Loco;
tt0063592;nm0212286;Hans;
tt0063592;nm0114880;Pete Wells;
tt0063592;nm0821750;Marker;
tt0063592;nm0192434;Luther;
tt0063715;nm0000404;Contessa Frederique de Metzengerstein (segment "Metzengerstein");
tt0063715;nm0000003;Giuseppina Ditterheim (segment "William Wilson");
tt0063715;nm0001128;William Wilson (segment "William Wilson");
tt0063715;nm0000654;Toby Dammit (segment "Toby Dammit");
tt0063715;nm0433150;Countess' Advisor (segment "Metzengerstein");
tt0063715;nm0709951;Priest (segment "Toby Dammit");
tt0063715;nm0699549;Friend of Countess (segment "Metzengerstein");
tt0063715;nm0001228;Baron Wilhelm Berlifitzing (segment "Metzengerstein");
tt0063715;nm0018874;(segment "Metzengerstein");
tt0063715;nm0030046;A courtesan (segment "Metzengerstein");
tt0063715;nm1008978;;
tt0063715;nm0160410;Young girl on the dissection table (segment "William Wilson");
tt0063715;nm0199337;;
tt0063715;nm0235367;Le licier (segment "Metzengerstein");
tt0063715;nm0501069;Philippe (segment "Metzengerstein");
tt0063715;nm0549150;Claude (segment "Metzengerstein");
tt0063715;nm0549659;Hugues (segment "Metzengerstein");
tt0063715;nm0195895;Hans (segment "William Wilson");
tt11609168;nm0000003;Brigitte Bardot;
tt11609138;nm0000003;Brigitte Bardot;
tt11609132;nm0000003;Brigitte Bardot;
tt11609126;nm0000003;Brigitte Bardot;
tt11609104;nm0000003;Brigitte Bardot;
tt11609104;nm0105475;Claude Brasseur;
tt11609088;nm0000003;Brigitte Bardot;
tt0082801;nm0000004;Earl Keese;
tt0082801;nm0000101;Vic;
tt0082801;nm0907923;Enid Keese;
tt0082801;nm0001550;Ramona;
tt0082801;nm0310608;Chic;
tt0082801;nm0160981;Chic's Wife;
tt0082801;nm0443730;Pa Greavy;
tt0082801;nm0409361;Perry Greavy;
tt0082801;nm0114383;Police Officer #1;
tt0082801;nm0048509;Police Officer #2;
tt0082801;nm0852747;Elaine Keese;
tt0082801;nm0516132;Fireman #1 (DOC);
tt0082801;nm0457764;Fireman #2;
tt0082801;nm0295530;Additional Fireman;
tt0082801;nm0295159;Additional Fireman;
tt0082801;nm0467718;Additional Fireman;
tt0082801;nm0543594;Additional Fireman;
tt0082801;nm0878624;Mr. Thundersky;
tt0082200;nm0000004;Ernie Souchak;
tt0082200;nm0001974;Nell Porter;
tt0082200;nm0307255;Howard McDermott;
tt0082200;nm0323344;Sylvia;
tt0082200;nm0304393;Max Bernbaum;
tt0082200;nm0043088;Yablonowitz;
tt0082200;nm0751290;Deke Lewis;
tt0082200;nm5173596;Fiddle;
tt0082200;nm0376347;Train Conductor;
tt0082200;nm0418589;Hellinger;
tt0082200;nm0777211;Jimmy;
