ID;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL;
nm0202088;Jules Dassin;December 18 1911 ;Middletown, Connecticut, USA ;/name/nm0202088/?ref_=tt_ov_dr;
nm0572132;Andrew V. McLaglen;July 28 1920 ;Wandsworth, London, England, UK ;/name/nm0572132/?ref_=tt_ov_dr;
nm0656108;Anthony Page;September 21 1935 ;Bangalore, Kingdom of Mysore, British India ;/name/nm0656108/?ref_=tt_ov_dr;
nm0006889;Herbert Ross;May 13 1927 ;Brooklyn, New York City, New York, USA ;/name/nm0006889/?ref_=tt_ov_dr;
nm0324995;Jack Gold;June 28 1930 ;London, England, UK ;/name/nm0324995/?ref_=tt_ov_dr;
nm0000958;John Boorman;January 18 1933 ;Rosehill, Carshalton, Surrey, England, UK ;/name/nm0000958/?ref_=tt_ov_dr;
nm0657853;Rospo Pallenberg;1939 ;Croydon, Surrey, England, UK ;/name/nm0657853/?ref_=tt_ov_dr;
nm0765121;Joseph Sargent;July 22 1925 ;Jersey City, New Jersey, USA ;/name/nm0765121/?ref_=tt_ov_dr;
nm0001232;Milos Forman;February 18 1932 ;Cáslav, Czechoslovakia [now Czech Republic] ;/name/nm0001232/?ref_=tt_ov_dr;
nm0782947;Lesley Selander;May 26 1900 ;Los Angeles, California, USA ;/name/nm0782947/?ref_=tt_ov_dr;
nm0736392;Larry Roemer;January 16 1917 ;;/name/nm0736392/?ref_=tt_ov_dr;
nm0599910;Robert Montgomery;May 21 1904 ;Fishkill Landing [now Beacon], New York, USA ;/name/nm0599910/?ref_=tt_ov_dr;
nm0027183;Michael Anderson;January 30 1920 ;London, England, UK ;/name/nm0027183/?ref_=tt_ov_dr;
nm0496468;Charles Lederer;December 31 1911 ;New York City, New York, USA ;/name/nm0496468/?ref_=tt_ov_dr;
nm0678928;Joseph Pevney;September 15 1911 ;New York City, New York, USA ;/name/nm0678928/?ref_=tt_ov_dr;
nm0746740;Roy Rowland;December 31 1910 ;New York City, New York, USA ;/name/nm0746740/?ref_=tt_ov_dr;
nm0936404;Robert Wise;September 10 1914 ;Winchester, Indiana, USA ;/name/nm0936404/?ref_=tt_ov_dr;
nm0000406;John Ford;February 1 1894 ;Cape Elizabeth, Maine, USA ;/name/nm0000406/?ref_=tt_ov_dr;
nm0503777;Mervyn LeRoy;October 15 1900 ;San Francisco, California, USA ;/name/nm0503777/?ref_=tt_ov_dr;
nm0517597;Joshua Logan;October 5 1908 ;Texarkana, Texas, USA ;/name/nm0517597/?ref_=tt_ov_dr;
nm0789520;Melville Shavelson;April 1 1917 ;Brooklyn, New York City, New York, USA ;/name/nm0789520/?ref_=tt_ov_dr;
nm0744035;Robert Rossen;March 16 1908 ;New York City, New York, USA ;/name/nm0744035/?ref_=tt_ov_dr;
nm0572851;Norman Z. McLeod;September 20 1895 ;Grayling, Michigan, USA ;/name/nm0572851/?ref_=tt_ov_dr;
nm0202681;Delmer Daves;July 24 1904 ;San Francisco, California, USA ;/name/nm0202681/?ref_=tt_ov_dr;
nm0001500;Karl Malden;March 22 1912 ;Chicago, Illinois, USA ;/name/nm0001500/?ref_=tt_ov_dr;
nm0792605;Vincent Sherman;July 16 1906 ;Vienna, Georgia, USA ;/name/nm0792605/?ref_=tt_ov_dr;
nm0542649;Anthony Mann;June 30 1906 ;San Diego, California, USA ;/name/nm0542649/?ref_=tt_ov_dr;
nm0242897;Philip Dunne;February 11 1908 ;New York City, New York, USA ;/name/nm0242897/?ref_=tt_ov_dr;
nm0695937;Otto Preminger;December 5 1905 ;Wiznitz, Bukovina, Austria-Hungary [now Vyzhnytsia, Chernivetska oblast, Ukraine] ;/name/nm0695937/?ref_=tt_ov_dr;
nm0000736;Robert Aldrich;August 9 1918 ;Cranston, Rhode Island, USA ;/name/nm0000736/?ref_=tt_ov_dr;
nm0368871;Henry Hathaway;March 13 1898 ;Sacramento, California, USA ;/name/nm0368871/?ref_=tt_ov_dr;
nm0293707;Hugo Fregonese;April 8 1908 ;Mendoza, Argentina ;/name/nm0293707/?ref_=tt_ov_dr;
nm0211964;André De Toth;May 15 1913 ;Makó, Csongrád, Hungary, Austria-Hungary [now Makó, Hungary] ;/name/nm0211964/?ref_=tt_ov_dr;
nm0169540;Larry Cohen;July 15 1936 ;New York, New York, USA ;/name/nm0169540/?ref_=tt_ov_dr;
nm0000755;Lindsay Anderson;April 17 1923 ;Bangalore, Kingdom of Mysore, British India ;/name/nm0000755/?ref_=tt_ov_dr;
nm0870800;Jean-Claude Tramont;May 5 1930 ;Brussels, Belgium ;/name/nm0870800/?ref_=tt_ov_dr;
nm0523310;Dick Lowry;September 15 1944 ;Oklahoma, USA ;/name/nm0523310/?ref_=tt_ov_dr;
nm0769615;George Schaefer;December 16 1920 ;Wallingford, Connecticut, USA ;/name/nm0769615/?ref_=tt_ov_dr;
nm0000165;Ron Howard;March 1 1954 ;Duncan, Oklahoma, USA ;/name/nm0000165/?ref_=tt_ov_dr;
nm0396421;John Hough;November 21 1941 ;London, England, UK ;/name/nm0396421/?ref_=tt_ov_dr;
nm0568546;Vincent McEveety;August 10 1929 ;Los Angeles, California, USA ;/name/nm0568546/?ref_=tt_ov_dr;
nm0178114;Jackie Cooper;September 15 1922 ;Los Angeles, California, USA ;/name/nm0178114/?ref_=tt_ov_dr;
nm0441501;Milton Katselas;February 22 1933 ;Pittsburgh, Pennsylvania, USA ;/name/nm0441501/?ref_=tt_ov_dr;
nm0606593;Howard Morris;September 4 1919 ;New York City, New York, USA ;/name/nm0606593/?ref_=tt_ov_dr;
nm0002195;Hy Averback;October 21 1920 ;Minneapolis, Minnesota, USA ;/name/nm0002195/?ref_=tt_ov_dr;
nm0850895;Frank Tashlin;February 19 1913 ;Weehawken, New Jersey, USA ;/name/nm0850895/?ref_=tt_ov_dr;
nm0506589;Ralph Levy;December 18 1919 ;Philadelphia, Pennsylvania, USA ;/name/nm0506589/?ref_=tt_ov_dr;
nm0422484;Norman Jewison;July 21 1926 ;Toronto, Ontario, Canada ;/name/nm0422484/?ref_=tt_ov_dr;
nm0330456;Michael Gordon;September 6 1909 ;Baltimore, Maryland, USA ;/name/nm0330456/?ref_=tt_ov_dr;
nm0910199;Charles Walters;November 17 1911 ;Pasadena, California, USA ;/name/nm0910199/?ref_=tt_ov_dr;
nm0542720;Delbert Mann;January 30 1920 ;Lawrence, Kansas, USA ;/name/nm0542720/?ref_=tt_ov_dr;
nm0418986;Charles Jarrott;June 16 1927 ;London, England, UK ;/name/nm0418986/?ref_=tt_ov_dr;
nm0382227;Douglas Heyes;May 22 1919 ;Los Angeles, California, USA ;/name/nm0382227/?ref_=tt_ov_wr;
nm0505697;Peter Levin;;;/name/nm0505697/?ref_=tt_ov_dr;
nm0923613;Claude Whatham;December 7 1927 ;Manchester, England, UK ;/name/nm0923613/?ref_=tt_ov_dr;
nm0062308;Wilford Lloyd Baumes;;;/name/nm0062308/?ref_=tt_ov_wr;
nm0002175;Ken Annakin;August 10 1914 ;Beverley, East Riding of Yorkshire, England, UK ;/name/nm0002175/?ref_=tt_ov_dr;
nm0000740;Irwin Allen;June 12 1916 ;New York City, New York, USA ;/name/nm0000740/?ref_=tt_ov_dr;
nm0417054;Jerry Jameson;November 26 1934 ;Los Angeles, California, USA ;/name/nm0417054/?ref_=tt_ov_dr;
nm0806915;Jack Smight;March 9 1925 ;Minneapolis, Minnesota, USA ;/name/nm0806915/?ref_=tt_ov_dr;
nm0318150;Lewis Gilbert;March 6 1920 ;Clapton, London, England, UK ;/name/nm0318150/?ref_=tt_ov_dr;
nm0828419;George Stevens;December 18 1904 ;Oakland, California, USA ;/name/nm0828419/?ref_=tt_ov_dr;
nm0712947;Nicholas Ray;August 7 1911 ;Galesville, Wisconsin, USA ;/name/nm0712947/?ref_=tt_ov_dr;
nm0001415;Elia Kazan;September 7 1909 ;Constantinople, Ottoman Empire [now Istanbul, Turkey] ;/name/nm0001415/?ref_=tt_ov_dr;
nm13895776;Richard Andrews;;;/name/nm13895776/?ref_=tt_ov_wr;
nm0000015;James Dean;February 8 1931 ;Marion, Indiana, USA ;/name/nm0000015/?ref_=tt_ov_st;
nm0000076;François Truffaut;February 6 1932 ;Paris, France ;/name/nm0000076/?ref_=tt_ov_dr;
nm0186622;Marcel Cravenne;November 22 1908 ;Kairouan, French Protectorate of Tunisia [now Tunisia] ;/name/nm0186622/?ref_=tt_ov_dr;
nm0003606;Philippe de Broca;March 15 1933 ;Paris, France ;/name/nm0003606/?ref_=tt_ov_dr;
nm0376101;David Hemmings;November 18 1941 ;Guildford, Surrey, England, UK ;/name/nm0376101/?ref_=tt_ov_dr;
nm0703689;Richard Quine;November 12 1920 ;Detroit, Michigan, USA ;/name/nm0703689/?ref_=tt_ov_dr;
nm0006452;Stanley Kramer;September 29 1913 ;Hell's Kitchen [now Clinton], Manhattan, New York City, New York, USA ;/name/nm0006452/?ref_=tt_ov_dr;
nm0000080;Orson Welles;May 6 1915 ;Kenosha, Wisconsin, USA ;/name/nm0000080/?ref_=tt_ov_dr;
nm0853138;Samuel A. Taylor;June 13 1912 ;Chicago, Illinois, USA ;/name/nm0853138/?ref_=tt_ov_dr;
nm0268513;John Farrow;February 10 1904 ;Sydney, New South Wales, Australia ;/name/nm0268513/?ref_=tt_ov_dr;
nm0000485;Fritz Lang;December 5 1890 ;Vienna, Austria-Hungary [now Austria] ;/name/nm0000485/?ref_=tt_ov_dr;
nm0467396;Henry Koster;May 1 1905 ;Berlin, Germany ;/name/nm0467396/?ref_=tt_ov_dr;
nm0000033;Alfred Hitchcock;August 13 1899 ;Leytonstone, London, England, UK ;/name/nm0000033/?ref_=tt_ov_dr;
nm0548529;Fletcher Markle;March 27 1921 ;Winnipeg, Manitoba, Canada ;/name/nm0548529/?ref_=tt_ov_dr;
nm0500552;Mitchell Leisen;October 6 1898 ;Menominee, Michigan, USA ;/name/nm0500552/?ref_=tt_ov_dr;
nm0480190;Georges Lacombe;August 19 1902 ;Paris, France ;/name/nm0480190/?ref_=tt_ov_dr;
nm0226189;William Dieterle;July 15 1893 ;Ludwigshafen am Rhein, Germany ;/name/nm0226189/?ref_=tt_ov_dr;
nm0439137;William Karel;1940 ;Tunisia ;/name/nm0439137/?ref_=tt_ov_dr;
nm0329640;Michael A. Goorjian;February 4 1971 ;Oakland, California, USA ;/name/nm0329640/?ref_=tt_ov_dr;
nm0770961;Fred Schepisi;December 26 1939 ;Richmond, Melbourne, Victoria, Australia ;/name/nm0770961/?ref_=tt_ov_dr;
nm0556435;John Masius;July 30 1950 ;Scarsdale, New York, USA ;/name/nm0556435/?ref_=tt_ov_wr;
nm0038875;John Asher;January 13 1971 ;Los Angeles, California, USA ;/name/nm0038875/?ref_=tt_ov_dr;
nm0779265;Jake Scott;1965 ;;/name/nm0779265/?ref_=tt_ov_dr;
nm0572951;Tom McLoughlin;July 19 1950 ;Los Angeles, California, USA ;/name/nm0572951/?ref_=tt_ov_dr;
nm0528718;Jonathan Lynn;April 3 1943 ;Bath, Somerset, England, UK [now Bath and North East Somerset, England, UK] ;/name/nm0528718/?ref_=tt_ov_dr;
nm0037790;Karen Arthur;August 24 1941 ;Omaha, Nebraska, USA ;/name/nm0037790/?ref_=tt_ov_dr;
nm0144482;Xavier Castano;1 ;January, 1949 ;/name/nm0144482/?ref_=tt_ov_dr;
nm0338719;David Greene;February 22 1921 ;Manchester, England, UK ;/name/nm0338719/?ref_=tt_ov_dr;
nm0814773;Alberto Sordi;June 15 1920 ;Rome, Lazio, Italy ;/name/nm0814773/?ref_=tt_ov_dr;
nm0778633;Ettore Scola;May 10 1931 ;Trevico, Campania, Italy ;/name/nm0778633/?ref_=tt_ov_dr;
nm0005196;Paul Mazursky;April 25 1930 ;Brooklyn, New York City, New York, USA ;/name/nm0005196/?ref_=tt_ov_dr;
nm0656528;Marcel Pagnol;February 28 1895 ;Aubagne, Bouches-du-Rhône, France ;/name/nm0656528/?ref_=tt_ov_dr;
nm0719756;Jean Renoir;September 15 1894 ;Paris, France ;/name/nm0719756/?ref_=tt_ov_dr;
nm0744023;Roberto Rossellini;May 8 1906 ;Rome, Lazio, Italy ;/name/nm0744023/?ref_=tt_ov_dr;
nm0742471;Ralph Rosenblum;October 13 1925 ;Brooklyn, New York City, New York, USA ;/name/nm0742471/?ref_=tt_ov_dr;
nm0041932;Mark Rydell;March 23 1929 ;New York City, New York, USA ;/name/nm0041932/?ref_=tt_ov_dr;
nm0172642;Robert L. Collins;June 1 1930 ;San Jose, California, USA ;/name/nm0172642/?ref_=tt_ov_dr;
nm0389431;Jack Hofsiss;September 28 1950 ;Brooklyn, New York City, New York, USA ;/name/nm0389431/?ref_=tt_ov_dr;
nm0921464;Peter Werner;January 17 1947 ;New York City, New York, USA ;/name/nm0921464/?ref_=tt_ov_dr;
nm0623768;Ronald Neame;April 23 1911 ;London, England, UK ;/name/nm0623768/?ref_=tt_ov_dr;
nm0001228;Peter Fonda;February 23 1940 ;Manhattan, New York City, New York, USA ;/name/nm0001228/?ref_=tt_ov_dr;
nm0707597;Alvin Rakoff;February 6 1927 ;Toronto, Ontario, Canada ;/name/nm0707597/?ref_=tt_ov_dr;
nm0502391;Umberto Lenzi;August 6 1931 ;Massa Marittima, Grosseto, Tuscany, Italy ;/name/nm0502391/?ref_=tt_ov_dr;
nm0875744;Michael Tuchner;June 24 1932 ;Berlin, Germany ;/name/nm0875744/?ref_=tt_ov_dr;
nm0518719;Jerry London;January 21 1937 ;Los Angeles, California, USA ;/name/nm0518719/?ref_=tt_ov_dr;
nm0362683;Joseph Hardy;March 8 1929 ;Carlsbad, New Mexico, USA ;/name/nm0362683/?ref_=tt_ov_dr;
nm0291201;Cyril Frankel;December 28 1921 ;Stoke Newington, London, England, UK ;/name/nm0291201/?ref_=tt_ov_dr;
nm0671766;Richard Alan Simmons;October 11 1924 ;Hopewell, Pennsylvania, USA ;/name/nm0671766/?ref_=tt_ov_wr;
nm0454771;Henry King;January 24 1886 ;Christiansburg, Virginia, USA ;/name/nm0454771/?ref_=tt_ov_dr;
nm0485943;Walter Lang;August 10 1896 ;Memphis, Tennessee, USA ;/name/nm0485943/?ref_=tt_ov_dr;
nm0780833;George Seaton;April 17 1911 ;South Bend, Indiana, USA ;/name/nm0780833/?ref_=tt_ov_dr;
nm0718106;Gottfried Reinhardt;March 20 1913 ;Berlin, Germany ;/name/nm0718106/?ref_=tt_ov_dr;
nm0291035;Melvin Frank;August 13 1913 ;Chicago, Illinois, USA ;/name/nm0291035/?ref_=tt_ov_dr;
nm0659085;Norman Panama;April 21 1914 ;Chicago, Illinois, USA ;/name/nm0659085/?ref_=tt_ov_dr;
nm0920074;William A. Wellman;February 29 1896 ;Brookline, Massachusetts, USA ;/name/nm0920074/?ref_=tt_ov_dr;
nm0695462;Hawley Pratt;June 9 1911 ;Seattle, Washington, USA ;/name/nm0695462/?ref_=tt_ov_dr;
nm0001023;John Cassavetes;December 9 1929 ;New York City, New York, USA ;/name/nm0001023/?ref_=tt_ov_dr;
nm0506187;Abe Levitow;July 2 1922 ;Los Angeles, California, USA ;/name/nm0506187/?ref_=tt_ov_dr;
nm0796645;George Sidney;October 4 1916 ;Long Island City, New York, USA ;/name/nm0796645/?ref_=tt_ov_dr;
nm0002030;George Cukor;July 7 1899 ;Lower East Side, Manhattan, New York City, New York, USA ;/name/nm0002030/?ref_=tt_ov_dr;
nm0502752;Robert Z. Leonard;October 7 1889 ;Chicago, Illinois, USA ;/name/nm0502752/?ref_=tt_ov_dr;
nm0851537;Norman Taurog;February 23 1899 ;Chicago, Illinois, USA ;/name/nm0851537/?ref_=tt_ov_dr;
nm0926636;Richard Whorf;June 4 1906 ;Winthrop, Massachusetts, USA ;/name/nm0926636/?ref_=tt_ov_dr;
nm0000519;David Mamet;November 30 1947 ;Chicago, Illinois, USA ;/name/nm0000519/?ref_=tt_ov_dr;
nm0001408;Shekhar Kapur;December 6 1945 ;Lahore, Punjab, British India [now Pakistan] ;/name/nm0001408/?ref_=tt_ov_dr;
nm0946734;David Yates;October 8 1963 ;St. Helens, Merseyside, England, UK ;/name/nm0946734/?ref_=tt_ov_dr;
